,b_precision,b_recall,b_f1_score,b_support,b_accuracy,b_auc,b_macro_avg_f1,b_weighted_avg_f1,b_specificity,mi_precision,mi_recall,mi_f1_score,mi_support,mi_accuracy,mi_auc,mi_macro_avg_f1,mi_weighted_avg_f1,mi_specificity,fp_precision,fp_recall,fp_f1_score,fp_support,fp_accuracy,fp_auc,fp_macro_avg_f1,fp_weighted_avg_f1,fp_specificity,bah_mean,bah_stdev,bah_sr,p_mean,p_stdev,p_sr,imeta_mean,imeta_stdev,imeta_sr,fmeta_mean,fmeta_stdev,fmeta_sr,num_samples,ip_sr,ip_avg,ip_std,fp_sr,fp_avg,fp_std,ip_recall,ip_prec,fp_prec,ip_acc,fp_acc,ip_f1,fp_f1,ip_auc
725,0.4801980198019802,1.0,0.6488294314381271,970.0,0.4801980198019802,0.5,0.3244147157190635,0.3115666081658333,0,0.5337711069418386,0.5865979381443299,0.5589390962671905,970.0,0.5554455445544555,0.5566323024054982,0.5554176519260103,0.5552781887837855,0.5266666666666666,0.5774783445620789,-0.3814432989690721,0.5973120955699353,970.0,0.5995049504950495,0.1002307314678448,0.5994930738804871,0.5995794492591228,0.5819047619047619,0.0002476614743618,0.0230813501028825,0.1703324981179179,-0.0014166364643302,0.0159377985583136,-1.411010850371848,0.0002892320473479,0.0099177425195728,0.4629497490759299,0.0008673583330677,0.0092943045351772,1.481432702053989,2020,1.873960599447778,0.0017058685116781,-0.0060200560387407,2.8924435524258367,0.0022839947973979,-0.0066434940231364,-0.4134020618556701,0.0535730871398584,0.0972803247600987,0.0752475247524753,0.1193069306930693,0.2437115806179522,0.2880128410932894,0.0566323024054982
726,0.4684052156469408,1.0,0.6379781420765027,934.0,0.4684052156469408,0.5,0.3189890710382513,0.2988322892173789,0,0.5215469613259669,0.5053533190578159,0.5133224578575313,934.0,0.5511534603811434,0.54843137651004,0.5484248399106177,0.5506429442931097,0.5915094339622642,0.5758266818700114,-0.4593147751605996,0.5577029265599117,934.0,0.5982948846539619,0.0948709143064927,0.5948826989253394,0.5972320727057024,0.6490566037735849,2.554992297188053e-05,0.0217421537848285,0.0186546584674482,-0.0013525191714897,0.0150882511338368,-1.4229996595897687,0.000195728235256,0.0094602685898554,0.3284356443724815,0.0006261046617756,0.009184739539682,1.0821323060494454,1994,1.7514353039622503,0.0015482474067458,-0.0056279825439813,2.5051319656392144,0.0019786238332654,-0.0059035115941547,-0.4946466809421841,0.053141745679026,0.1074214662230705,0.0827482447342026,0.129889669007021,0.2518106550757307,0.2983997834883235,0.04843137651004
727,0.4915254237288136,1.0,0.6590909090909091,986.0,0.4915254237288136,0.5,0.3295454545454545,0.323959938366718,0,0.5403071017274472,0.5709939148073022,0.5552268244575936,986.0,0.5503489531405783,0.5506930358350237,0.5502948638417,0.5502112712888882,0.5303921568627451,0.5882352941176471,-0.4016227180527383,0.5932629462041227,986.0,0.5967098703888335,0.096737660581474,0.5966809046393822,0.5967388361382848,0.5950980392156863,0.0004752162665717,0.0215951337577459,0.3493298280323203,-0.0009167200888504,0.015608960050929,-0.9323158118318444,0.000386107016293,0.0097798778099331,0.6267214158018835,0.0009627067926065,0.0093241130211688,1.6390295267292758,2006,1.559037227633728,0.0013028271051435,-0.0058290822409959,2.57134533856112,0.0018794268814569,-0.0062848470297602,-0.4290060851926978,0.0487816779986336,0.0967098703888335,0.0588235294117647,0.1051844466600199,0.2262513329221702,0.2727788977715668,0.0506930358350237
728,0.4734468937875751,1.0,0.6426385583134988,945.0,0.4734468937875751,0.5,0.3213192791567494,0.3042552292616515,0,0.5278622087132725,0.5513227513227513,0.5393374741200828,945.0,0.5541082164328658,0.5539677505424414,0.5536493195843133,0.5544093674897284,0.5566127497621313,0.5913410770855333,-0.4074074074074074,0.5919661733615221,945.0,0.6132264529058116,0.1121859252211298,0.6121735628712373,0.6132467007910918,0.6317792578496669,0.0002238167435334,0.0214674478766825,0.1655054981971025,-0.00109641161597,0.0151862063611333,-1.146105512372079,0.0001817317967582,0.0091640391821783,0.3148069077249476,0.000879079235555,0.0084898553614184,1.643720610767303,1996,1.4609124200970265,0.0012781434127282,-0.0060221671789549,2.789826123139382,0.001975490851525,-0.0066963509997148,-0.4486772486772487,0.0544153149256973,0.1178941832979581,0.0806613226452906,0.1397795591182364,0.2501541382280768,0.3089914715294403,0.0539677505424414
729,0.4757575757575757,1.0,0.6447638603696099,942.0,0.4757575757575757,0.5,0.3223819301848049,0.3067512911455416,0,0.509698275862069,0.5021231422505308,0.5058823529411764,942.0,0.5333333333333333,0.5318900875029148,0.5318885448916408,0.533149451168027,0.5616570327552987,0.5652173913043478,-0.4755838641188959,0.5440528634361234,942.0,0.5818181818181818,0.0791637519482592,0.5789294167926886,0.5806204011978553,0.6339113680154143,0.0002885428140746,0.0214989027902723,0.2130562297295268,-0.0011350068023047,0.0149256092361835,-1.2071650896440884,5.45713501637325e-05,0.0088783936660502,0.0975732052483939,0.0006295900632019,0.0086744114272303,1.1521741267106838,1980,1.3047382948924824,0.0011895781524684,-0.0060472155701333,2.359339216354772,0.0017645968655066,-0.0062511978089532,-0.4978768577494692,0.0339407001044931,0.089459815546772,0.0575757575757575,0.106060606060606,0.2263981600224854,0.2738691100523137,0.0318900875029147
730,0.4723340040241449,1.0,0.6416125725999317,939.0,0.4723340040241449,0.5,0.3208062862999658,0.303055435448358,0,0.53470715835141,0.5250266240681576,0.5298226759806556,939.0,0.5598591549295775,0.5580328544554325,0.5580555460281529,0.5596177269663947,0.5910390848427073,0.570957095709571,-0.4472843450479233,0.5616883116883117,939.0,0.5925553319919518,0.0904665024045416,0.5905246069719754,0.5921201766305283,0.6282173498570067,-0.0005354569314795,0.0217631354214488,-0.3905740191510586,-0.0013317200730369,0.0154324171652925,-1.3698697066584924,0.0002719844745547,0.0097012697956688,0.4450571700194207,0.000568632125611,0.0093554643264829,0.9648644723641722,1988,1.8149268766779127,0.0016037045475917,-0.0057311473696237,2.3347341790226643,0.001900352198648,-0.0060769528388096,-0.4749733759318424,0.0623731543272651,0.0986230916854261,0.0875251509054326,0.1202213279678068,0.2565622915180366,0.2890647411821702,0.0580328544554324
731,0.484681064791562,1.0,0.6529093369418133,965.0,0.484681064791562,0.5,0.3264546684709066,0.3164527926413108,0,0.5300668151447662,0.4932642487046632,0.5110037573805689,965.0,0.5424409844299347,0.5409791029098365,0.5405419919512566,0.5414469805543766,0.5886939571150097,0.5993303571428571,-0.4435233160621762,0.5771090811391724,965.0,0.6047212456052236,0.1032870749123817,0.6030288451429007,0.6038229715136829,0.6500974658869396,0.0003356796720645,0.0206134540445252,0.2585083306884982,-0.0008307922048463,0.01464135548972,-0.9007647823609246,0.0001681801914084,0.0087460531122474,0.3052551519204855,0.000848110118859,0.0086193774863658,1.561984119466589,1991,1.2060199342814102,0.0009989723962547,-0.0058953023774726,2.462748901827514,0.0016789023237054,-0.0060219780033541,-0.5067357512953368,0.0453857503532041,0.114649292351295,0.0577599196383726,0.1200401808136615,0.2249941879130657,0.2873701788723721,0.0409791029098365
732,0.4679130874178878,1.0,0.6375215146299483,926.0,0.4679130874178878,0.5,0.3187607573149741,0.2983046602058273,0,0.5093304061470911,0.5010799136069114,0.5051714752313554,926.0,0.5406771096513391,0.5382892445527434,0.5383000233299634,0.5404260089835881,0.5754985754985755,0.5712603062426383,-0.4762419006479481,0.5464788732394366,926.0,0.5932289034866094,0.0890395435031864,0.5888601420709323,0.5915799102071626,0.654320987654321,3.190853605438178e-05,0.0225339043126057,0.0224786747814862,-0.0016583470284036,0.0160977248857169,-1.6353517738989287,2.1680965718460023e-05,0.0091911879167963,0.0374461564668495,0.0005782638858154,0.0086573773789652,1.0603274181542406,1979,1.6727979303657785,0.0016800279941221,-0.0069065369689206,2.695679192053169,0.0022366109142191,-0.0074403475067517,-0.4989200863930886,0.0414173187292032,0.1033472188247505,0.0727640222334512,0.1253158160687215,0.2421213487777607,0.2932752500013353,0.0382892445527434
733,0.4818858560794045,1.0,0.6503683858004019,971.0,0.4818858560794045,0.5,0.3251841929002009,0.313403326358407,0,0.5388257575757576,0.5859938208032955,0.5614208189442527,971.0,0.5588089330024814,0.5597593625089274,0.5587932851585966,0.5586980941082973,0.5335249042145593,0.5837275307473982,-0.364572605561277,0.6084812623274162,971.0,0.605955334987593,0.1069857278707024,0.6059389328620097,0.6058468286183498,0.578544061302682,0.0004623685359827,0.0226083565708293,0.3246530962404884,-0.0010045510821915,0.0158939882247062,-1.0033198610056977,0.0004681471213032,0.0095594727018646,0.7774074356952116,0.0009852098508152,0.0095640931901026,1.6352539875912424,2015,1.7807272967009091,0.0014726982034948,-0.0063345155228416,2.63857384859694,0.0019897609330068,-0.0063298950346035,-0.4140061791967044,0.056939901496353,0.1018416746679937,0.0769230769230768,0.1240694789081885,0.2452947677498902,0.2924435022599427,0.0597593625089274
734,0.4463104325699745,1.0,0.6171710063335679,877.0,0.4463104325699745,0.5,0.3085855031667839,0.2754498588063812,0,0.5227537922987164,0.5108323831242874,0.5167243367935409,877.0,0.5735368956743002,0.5674566327386142,0.5675607112018706,0.5730194771052587,0.6240808823529411,0.6023529411764705,-0.4161915621436716,0.5929357266936884,877.0,0.6422391857506361,0.136573336575223,0.6369127112814787,0.6416349218402695,0.6893382352941176,-0.0001053957452716,0.0228884550271363,-0.0730982316375284,-0.0020691435695803,0.0158588643602075,-2.0711846148584616,9.06673278927715e-05,0.0089268559718061,0.1612324892889393,0.0006568419848117,0.0085203817605676,1.223776533479293,1965,2.232417104147401,0.0021598108974731,-0.0069320083884013,3.2949611483377543,0.0027259855543921,-0.0073384825996399,-0.4891676168757126,0.0764433597287418,0.156042508606496,0.1272264631043256,0.1959287531806615,0.2975696182988775,0.3661850630338883,0.0674566327386142
