,b_precision,b_recall,b_f1_score,b_support,b_accuracy,b_auc,b_macro_avg_f1,b_weighted_avg_f1,b_specificity,m_precision,m_recall,m_f1_score,m_support,m_accuracy,m_auc,m_macro_avg_f1,m_weighted_avg_f1,m_specificity,bah_mean,bah_stdev,bah_sr,p_mean,p_stdev,p_sr,meta_mean,meta_stdev,meta_sr,num_samples,ip_sr,ip_avg,ip_std,ip_recall,ip_prec,ip_acc,ip_f1,ip_auc
777,0.477022977022977,1.0,0.6459249239093676,955.0,0.477022977022977,0.5,0.3229624619546838,0.3081210301365865,0,0.5224022878932316,0.5738219895287958,0.5469061876247505,955.0,0.5464535464535465,0.5476559804377504,0.5464530938123753,0.5464322723184998,0.5214899713467048,0.0001532882391511,0.0206838271037625,0.1176462820938579,-0.00116928642601,0.0143558560558219,-1.2929808222916237,0.0002446448035743,0.0089034922194855,0.4361901783113964,2002,1.72917100060302,0.0014139312295843,-0.0054523638363364,-0.4261780104712042,0.0453793108702546,0.0694305694305694,0.2383112421819133,0.0476559804377504
778,0.4982578397212543,1.0,0.6651162790697674,1001.0,0.4982578397212543,0.5,0.3325581395348837,0.3313994003727413,0,0.550921435499515,0.5674325674325674,0.5590551181102362,1001.0,0.554006968641115,0.5540535853035853,0.5539485056815028,0.553930712606838,0.5406746031746031,0.0001637886669839,0.0215861788305952,0.1204504281589924,-0.0008516858871072,0.0153661847079776,-0.8798601976687186,0.0004890000754205,0.0091984964387873,0.8439026525243386,2009,1.723762850193057,0.0013406859625278,-0.0061676882691903,-0.4325674325674326,0.0526635957782606,0.0557491289198606,0.2225313122340967,0.0540535853035852
779,0.4496712190187152,1.0,0.6203768318213538,889.0,0.4496712190187152,0.5,0.3101884159106769,0.2789656062160766,0,0.4967320261437908,0.5129358830146231,0.5047039291643608,889.0,0.5472938796155792,0.5441517650367234,0.543921596626894,0.5478691514195313,0.5753676470588235,-0.0002785327292282,0.0227955425349691,-0.1939664298139817,-0.0017316117001848,0.0159564011511691,-1.722724522634498,6.52740986552455e-05,0.0085920353191735,0.1205993869999273,1977,1.8433239096344247,0.00179688579884,-0.0073643658319956,-0.4870641169853769,0.0470608071250756,0.0976226605968639,0.2689035452034546,0.0441517650367233
780,0.4673316708229426,1.0,0.636981645139361,937.0,0.4673316708229426,0.5,0.3184908225696805,0.2976816965065242,0,0.5007587253414264,0.7043756670224119,0.5853658536585366,937.0,0.5336658354114713,0.5441353990542771,0.5263011604475019,0.5224420707663819,0.3838951310861423,-0.0003211426793375,0.021838596141191,-0.2334390890521364,-0.0013883109271407,0.0153520179225111,-1.43556064389243,6.174865456245599e-05,0.0101109736049001,0.0969470934149705,2005,1.5325077373074003,0.0014500595817032,-0.005241044317611,-0.295624332977588,0.0334270545184837,0.0663341645885286,0.2247603742598576,0.0441353990542771
781,0.487279843444227,1.0,0.6552631578947369,996.0,0.487279843444227,0.5,0.3276315789473684,0.3192965289937172,0,0.5526506899055919,0.7640562248995983,0.6413822166034555,996.0,0.5836594911937377,0.5881349826788068,0.5725861520335062,0.5708359586100045,0.4122137404580153,0.0004219789500497,0.0220004105673986,0.3044810523645876,-0.0010024149476102,0.0157528983737532,-1.0101534075618896,0.000598782336343,0.0109121045146054,0.8710853984040614,2044,1.881238805965951,0.0016011972839532,-0.0048407938591477,-0.2359437751004016,0.0653708464613648,0.0963796477495107,0.2515394296162873,0.0881349826788068
782,0.454638124362895,1.0,0.6250875963559916,892.0,0.454638124362895,0.5,0.3125437981779958,0.2841886523697984,0,0.5113240418118467,0.6580717488789237,0.5754901960784313,892.0,0.5586136595310908,0.5668863417291815,0.5579149494192581,0.5563204571127683,0.4757009345794392,-0.0005900628446387,0.0221261230386926,-0.423343811859845,-0.0017890658862919,0.0153211796127703,-1.85367845056496,0.0002086514573971,0.0096157118065333,0.3444611557028812,1962,2.1981396062678416,0.0019977173436891,-0.005705467806237,-0.3419282511210763,0.0566859174489516,0.1039755351681957,0.2721318047429699,0.0668863417291815
783,0.4761421319796954,1.0,0.6451169188445667,938.0,0.4761421319796954,0.5,0.3225584594222833,0.3071673451148241,0,0.5274463007159904,0.4712153518123667,0.4977477477477477,938.0,0.5472081218274112,0.5437472107899043,0.5427740587167574,0.544922522285837,0.6162790697674418,9.378426539004927e-05,0.0232156450618836,0.0641282658616301,-0.0013568875314874,0.0166323200846036,-1.295064169209957,0.0001738383816351,0.0083616399416923,0.3300308044822241,1970,1.6250949736921811,0.0015307259131226,-0.0082706801429113,-0.5287846481876333,0.051304168736295,0.0710659898477157,0.2377551771710129,0.0437472107899042
784,0.4628600303183426,1.0,0.6328151986183075,916.0,0.4628600303183426,0.5,0.3164075993091537,0.2929048620183778,0,0.4977497749774977,0.6037117903930131,0.5456339417858904,916.0,0.5346134411318848,0.5393911727129694,0.5343394980809307,0.5335005474873838,0.4750705550329256,-0.0004995587113466,0.0199622539369557,-0.3972621888309979,-0.0013609286060325,0.0138812005440024,-1.5563547110764722,-7.588910703430355e-06,0.0087618136488724,-0.0137494618679114,1979,1.542605249208561,0.0013533396953291,-0.00511938689513,-0.3962882096069868,0.0348897446591551,0.0717534108135422,0.240595685469006,0.0393911727129694
785,0.4924698795180723,1.0,0.6599394550958627,981.0,0.4924698795180723,0.5,0.3299697275479313,0.3250003039402818,0,0.5166809238665526,0.6156982670744139,0.5618604651162791,981.0,0.5271084337349398,0.5284228229536263,0.5241145291775506,0.5235460662869071,0.4411473788328388,0.000702484960324,0.0212152327080043,0.5256413248993661,-0.0007274309868472,0.0151703120261305,-0.7611978516374891,0.0003539181372116,0.0096240805769125,0.5837727779110157,1992,1.3449706295485049,0.0010813491240589,-0.0055462314492179,-0.3843017329255861,0.0242110443484803,0.0346385542168674,0.1985457623466253,0.0284228229536263
786,0.4712871287128712,1.0,0.6406460296096904,952.0,0.4712871287128712,0.5,0.3203230148048452,0.3019282278160521,0,0.5243421052631579,0.8371848739495799,0.644822006472492,952.0,0.5653465346534653,0.5801092909073742,0.5424365134403276,0.5365569504741241,0.3230337078651685,1.1180333714638352e-05,0.0233592532634034,0.0075979438854718,-0.0018190196016727,0.017114194605303,-1.6872567854826228,0.000281379235089,0.0116644864742217,0.3829364362272128,2020,2.070193221709836,0.0021003988367618,-0.0054497081310812,-0.1628151260504201,0.0530549765502866,0.094059405940594,0.234628722658072,0.0801092909073741
