,b_precision,b_recall,b_f1_score,b_support,b_accuracy,b_auc,b_macro_avg_f1,b_weighted_avg_f1,b_specificity,m_precision,m_recall,m_f1_score,m_support,m_accuracy,m_auc,m_macro_avg_f1,m_weighted_avg_f1,m_specificity,bah_mean,bah_stdev,bah_sr,p_mean,p_stdev,p_sr,meta_mean,meta_stdev,meta_sr,num_samples,ip_sr,ip_avg,ip_std,ip_recall,ip_prec,ip_acc,ip_f1,ip_auc
338,0.4792284866468843,1.0,0.6479438314944834,969.0,0.4792284866468843,0.5,0.3239719157472417,0.3105131417992851,0,0.5111386138613861,0.4262125902992776,0.4648283624085537,969.0,0.5296735905044511,0.5255469409236179,0.5226656148169808,0.5250683493383992,0.6248812915479582,0.0002950309436106,0.0222090782988998,0.2108809277063612,-0.0015074411433679,0.015954605550299,-1.4998732631194875,-9.932754971345101e-08,0.0084707827583387,-0.0001861428883562,2022,1.4996871202311313,0.0015073418158182,-0.0074838227919602,-0.5737874097007224,0.0319101272145018,0.0504451038575667,0.2145552075391141,0.0255469409236178
339,0.4824170381376919,1.0,0.6508519879719344,974.0,0.4824170381376919,0.5,0.3254259939859672,0.3139820883034493,0,0.4912280701754385,0.4312114989733059,0.4592673592126845,974.0,0.5101535413571074,0.507471778194787,0.5057767307607107,0.5074122757730485,0.583732057416268,0.0004850737679522,0.0205861099899126,0.374053541388315,-0.000946490537232,0.0149294007217483,-1.006408211473921,3.9735362800170594e-05,0.0081785721593935,0.0771258499713286,2019,1.0835340614452496,0.0009862259000322,-0.0067508285623548,-0.568788501026694,0.0088110320377466,0.0277365032194155,0.1934301874695991,0.0074717781947869
340,0.4725822532402791,1.0,0.6418415707515234,948.0,0.4725822532402791,0.5,0.3209207853757617,0.3033229357290349,0,0.5010460251046025,0.5052742616033755,0.5031512605042017,948.0,0.5284147557328016,0.5272117999888333,0.527192328544321,0.5285106323750353,0.5491493383742911,-0.0002207320570094,0.0223854514381208,-0.1565308068522528,-0.0014330017397038,0.0155507628043756,-1.4628348252521148,-8.302260167692526e-05,0.0087843737688684,-0.1500326577722667,2006,1.3128021674798482,0.0013499791380269,-0.0067663890355072,-0.4947257383966245,0.0284637718643233,0.0558325024925224,0.2251876966460003,0.0272117999888332
341,0.4876237623762376,1.0,0.6555740432612313,985.0,0.4876237623762376,0.5,0.3277870216306156,0.3196734814912439,0,0.4905450500556173,0.4477157360406091,0.4681528662420382,985.0,0.503960396039604,0.5026018293729616,0.5017016650319653,0.5025320808435971,0.557487922705314,0.0003146591925362,0.0207855788533848,0.2403137224313673,-0.0006947312613817,0.0145256564983067,-0.7592439539731672,8.820331714094505e-06,0.0082591613368868,0.0169531044943019,2020,0.7761970584674692,0.0007035515930958,-0.0062664951614199,-0.5522842639593908,0.0029212876793797,0.0163366336633663,0.1828585993523531,0.0026018293729616
342,0.4888003982080637,1.0,0.6566365763958542,982.0,0.4888003982080637,0.5,0.3283182881979271,0.3209642200202732,0,0.4711538461538461,0.3492871690427698,0.4011695906432748,982.0,0.4902936784469885,0.4872044413860393,0.4787477069334225,0.4804853949538588,0.6251217137293087,-0.0002009650264022,0.0205400616880614,-0.1553170063917189,-0.0011852124369465,0.0148440266520991,-1.2674905936650307,-0.0002382785372749,0.0074028564805175,-0.5109587798058765,2009,0.7565318138591542,0.0009469338996715,-0.0074411701715815,-0.6507128309572301,-0.0176465520542175,0.0014932802389248,0.1595211749335856,-0.0127955586139607
343,0.4566326530612244,1.0,0.6269702276707529,895.0,0.4566326530612244,0.5,0.3134851138353764,0.2862950784516959,0,0.491480996068152,0.4189944134078212,0.4523522316043426,895.0,0.536734693877551,0.5273375822907651,0.5254687771637983,0.5318105183602816,0.6356807511737089,-0.000208813726626,0.0231263220826187,-0.1433351630273532,-0.0016671385139364,0.0158449840564332,-1.6702448774694325,-1.8146661772293406e-05,0.0080440037979522,-0.0358116843662205,1960,1.634433193103212,0.0016489918521641,-0.0078009802584809,-0.5810055865921788,0.0348483430069275,0.0801020408163265,0.2455154399085857,0.0273375822907651
344,0.4625506072874494,1.0,0.6325259515570935,914.0,0.4625506072874494,0.5,0.3162629757785467,0.2925752630178053,0,0.4811165845648604,0.3205689277899343,0.3847669074195666,914.0,0.5258097165991903,0.5115085693563608,0.4995057262499233,0.5080995244214277,0.7024482109227872,1.7559271804229547e-05,0.021840182341394,0.0127629336617748,-0.0013165599078784,0.0152297597365994,-1.3722961475198014,3.867816244879646e-05,0.0066134628764728,0.0928404385900622,1976,1.4651365861098635,0.0013552380703272,-0.0086162968601265,-0.6794310722100656,0.018565977277411,0.0632591093117408,0.2155242614036223,0.0115085693563607
345,0.502,1.0,0.6684420772303595,1004.0,0.502,0.5,0.3342210386151797,0.3355579227696404,0,0.4968789013732834,0.396414342629482,0.4409972299168975,1004.0,0.4955,0.4958979343669499,0.49065806826141,0.4904594249080319,0.5953815261044176,0.0003652175064934,0.0204498254028352,0.2835059989788189,-0.0005525787255315,0.0144832846497802,-0.6056578695622602,2.09172581595671e-05,0.0077984529322662,0.0425791092260671,2000,0.6482369787883273,0.0005734959836911,-0.006684831717514,-0.603585657370518,-0.0051210986267166,-0.0065,0.1549015021383914,-0.00410206563305
346,0.4618090452261306,1.0,0.6318322447576488,919.0,0.4618090452261306,0.5,0.3159161223788244,0.2917858456946127,0,0.52,0.4385201305767138,0.4757969303423848,919.0,0.5537688442211055,0.5455905975012421,0.5436727433864156,0.5488572275988239,0.6526610644257703,0.000160360847108,0.024311365620402,0.1047102646813395,-0.0019633484198683,0.0171517408813479,-1.8171444024992665,0.0002142234304079,0.0083920187149676,0.405229259690599,1990,2.2223736621898653,0.0021775718502763,-0.0087597221663803,-0.5614798694232862,0.0581909547738693,0.0919597989949748,0.2570713819042112,0.045590597501242
347,0.4928716904276985,1.0,0.660300136425648,968.0,0.4928716904276985,0.5,0.330150068212824,0.3254432444297491,0,0.4560327198364008,0.2303719008264463,0.3061084420041181,968.0,0.485234215885947,0.4816518138670383,0.4484811736528077,0.4505109274644998,0.7329317269076305,-6.782427335896431e-05,0.0207117438627863,-0.051983887407154,-0.0005973748674981,0.0143748645692978,-0.6596954000899252,-0.0001138625522921,0.0064101029097442,-0.2819786214821351,1964,0.3777167786077901,0.000483512315206,-0.0079647616595536,-0.7696280991735537,-0.0368389705912977,-0.0076374745417515,0.1250676830347507,-0.0183481861329616
